#{"t_start": 1525892454.660609, "env_id": "Hopper-v1"}
r,l,t
200.613351,90,64.828332
200.443339,90,64.916081
217.46761,98,65.005556
211.834678,95,65.091577
204.788075,90,65.173202
236.337748,107,65.270125
192.515552,86,65.348857
179.558854,82,65.427528
199.453947,90,65.511959
212.658357,98,66.497568
226.719686,100,66.595725
208.421743,93,66.684028
205.112424,99,66.779116
191.635627,85,66.856477
220.266004,101,66.948589
191.244802,89,67.029022
224.941958,101,67.126645
210.629027,92,67.209887
210.431016,95,67.295698
361.631238,140,67.42494
245.502773,105,67.52261
198.397177,91,67.608679
218.786978,95,67.715243
217.805256,101,67.830169
232.889275,97,67.94065
244.7227,115,68.071749
219.709013,95,68.225913
199.273225,88,68.36355
216.129617,96,68.517962
193.961974,87,68.712977
231.735162,100,69.736175
281.522181,124,69.848146
197.189228,89,69.929555
285.567551,124,70.040526
281.434547,129,70.158676
202.229317,91,70.241089
214.403644,97,70.328105
226.872713,101,70.419133
200.693056,87,70.497552
208.004016,93,70.58113
209.417894,92,70.664864
202.050271,90,70.748542
213.470929,97,70.838684
204.141078,92,70.948865
270.308025,115,71.079147
199.694996,90,71.18897
266.859032,128,71.352612
180.290034,88,71.438708
212.518676,94,71.524266
230.654288,103,71.616841
302.20752,129,72.667149
318.027877,125,72.784149
303.286347,120,72.913491
222.164496,98,73.024609
287.400384,125,73.148619
207.593368,94,73.236045
237.789077,103,73.3513
206.758264,97,73.465676
227.892973,103,73.601695
309.889027,125,73.749084
232.438483,101,73.862398
257.905278,104,73.965457
207.2657,92,74.082012
217.749506,95,74.188327
312.026072,127,74.440806
326.727538,123,74.649757
218.856427,96,74.795523
336.878803,134,74.969099
324.694089,126,75.10722
282.865962,111,76.204851
428.245735,171,76.361976
336.366502,130,76.49465
304.483355,119,76.626871
200.639854,91,76.725532
315.378531,123,76.867956
77.813699,44,76.922603
343.268682,131,77.051497
71.53933,42,77.091419
279.4281,122,77.199986
185.116092,86,77.277629
314.222038,143,77.418653
316.624991,120,77.527293
253.15115,113,77.629558
316.90022,124,77.747462
347.384063,132,77.897063
323.164877,129,78.018831
200.995158,91,78.10432
226.785848,98,79.502329
242.458574,102,79.609981
308.605199,120,79.74385
301.753898,121,79.873226
218.373315,95,79.975985
228.829777,98,80.07941
327.369123,129,80.217865
271.534561,111,80.33354
268.336449,114,80.456532
201.16843,92,80.554611
284.159945,130,80.699311
412.085434,172,80.88768
423.193516,176,81.068387
329.659761,135,81.213385
68.545207,40,81.256621
311.270304,116,81.378716
308.991535,120,81.513485
306.716911,134,82.712033
264.159951,105,82.822333
334.213604,129,82.978548
290.04693,130,83.138242
357.279892,141,83.301225
356.183043,154,83.51536
415.218644,179,83.753668
346.295821,146,83.911304
385.71859,179,84.11569
419.040193,154,84.323958
365.211811,144,84.51835
306.51053,123,84.649359
350.161787,135,84.850501
320.52206,128,85.082583
342.824002,128,85.2319
356.962237,140,86.780203
293.082086,119,86.973071
310.063979,113,87.1403
267.678102,111,87.342248
339.497142,125,87.532079
349.572437,132,87.725862
312.818584,121,87.868801
430.628058,162,88.091687
260.20517,108,88.223607
316.46166,134,88.422747
301.068469,122,88.559602
216.105034,111,88.737566
213.853907,98,88.856394
334.360463,131,88.992125
569.558426,202,89.251476
352.224839,133,89.403166
315.08024,118,90.543523
271.759197,111,90.659276
479.579804,167,90.835524
354.116081,141,90.981805
336.885204,126,91.11485
509.28312,186,91.306099
283.081094,126,91.437131
335.876627,125,91.566897
327.609536,131,91.700317
353.940747,127,91.834887
330.607481,123,91.964922
420.154395,154,92.153108
337.449025,128,92.288637
397.050168,159,92.488719
431.29509,184,93.850935
175.892277,86,93.973087
379.815246,144,94.224602
272.600211,107,94.34258
473.726538,167,94.520272
350.48372,132,94.65491
367.120742,135,94.792974
312.998485,134,94.930748
340.004207,125,95.063753
295.269211,110,95.189514
316.695362,119,95.341154
348.683333,131,95.485191
385.255077,134,95.633885
268.222986,104,95.744276
177.217243,85,95.838551
261.922739,109,95.949862
360.097787,137,96.090951
345.24683,139,97.470166
384.729907,143,97.664543
378.574902,147,97.849255
293.163487,121,97.983941
324.528608,129,98.154889
503.735531,181,98.374357
541.577862,188,98.643694
361.242165,127,98.819647
390.853826,145,99.019353
353.329737,129,99.15091
304.527945,117,99.275395
316.353429,119,99.424371
288.872724,121,99.546353
386.989454,157,99.708558
320.890502,120,99.829176
336.245164,124,100.934085
418.240634,153,101.088709
300.526987,125,101.213955
376.831377,132,101.348347
388.792463,143,101.493863
355.086921,126,101.625099
306.70912,123,101.74879
356.454476,129,101.881969
335.531031,128,102.012791
504.388969,181,102.19669
356.864514,132,102.329424
374.920296,130,102.462757
348.993864,128,102.594614
353.708193,130,102.732028
363.953295,134,102.871065
493.762257,168,104.01324
381.689732,136,104.152137
502.58726,173,104.327441
318.147818,126,104.455526
376.249341,138,104.592122
542.483307,190,104.786284
358.493952,132,104.919963
339.722637,131,105.052474
545.473874,180,105.233462
305.213596,130,105.371655
295.145404,113,105.486752
313.119483,120,105.608261
712.866277,254,105.86623
349.536719,131,105.996256
354.563772,136,107.113367
384.187054,142,107.255433
343.039742,134,107.394366
395.363231,136,107.531203
367.745643,130,107.665157
559.148042,188,107.858942
370.595117,135,107.993374
362.398981,133,108.129638
385.135491,142,108.271833
649.490405,211,108.486721
371.313933,139,108.629028
537.618491,182,108.809993
307.12753,124,108.939388
356.075271,130,110.044283
396.781656,139,110.185721
395.48853,143,110.334353
563.005093,185,110.521959
361.272691,135,110.65945
469.530635,163,110.822815
410.714601,139,110.965774
341.068749,125,111.092827
529.389366,195,111.290896
478.771811,160,111.455274
585.738232,190,111.646737
366.006119,151,111.798542
413.390319,142,111.944388
362.848162,137,112.085367
396.660449,138,113.206729
600.75884,195,113.406057
398.051244,144,113.550195
307.135599,135,113.688413
576.075962,185,113.875764
561.412774,197,114.074569
367.037115,136,114.213485
371.949162,142,114.358591
389.117942,135,114.496145
359.550411,137,114.634451
283.073782,128,114.763206
393.309888,139,114.905441
607.395094,201,115.109198
614.608208,212,116.323119
323.387288,117,116.443684
614.792022,190,116.636914
382.228752,133,116.773446
402.959555,144,116.922073
664.203441,218,117.146887
612.051256,205,117.35812
363.556225,140,117.500963
295.047411,129,117.635357
409.982934,139,117.775285
414.305264,142,117.927079
514.765625,194,118.126655
571.43194,179,119.29262
399.797303,142,119.438805
398.187143,151,119.593186
584.712795,203,119.797713
658.865729,199,120.001287
588.64987,185,120.19305
514.827546,169,120.368353
741.347932,232,120.61009
417.220903,141,120.752211
493.34051,163,120.922062
391.356096,136,121.058927
410.096774,147,121.207084
1106.929949,341,122.520729
427.020738,147,122.670608
461.753314,166,122.838743
641.68552,213,123.052522
640.263037,221,123.274619
787.265058,231,123.513067
637.496825,188,123.700843
764.231729,243,123.947866
543.705111,180,124.129865
343.558208,126,124.257327
401.822402,148,124.410351
357.596366,127,125.511409
565.36715,180,125.694813
594.995221,194,125.893063
866.050142,266,126.162063
648.84124,195,126.360936
366.039751,133,126.493649
403.505138,137,126.634827
365.535887,127,126.763131
641.645388,209,126.976668
381.38392,137,127.11583
630.890968,190,127.306963
736.974136,242,128.540964
664.801501,195,128.741516
639.819188,202,128.95205
725.162656,232,129.199208
602.295283,180,129.384746
629.769349,196,129.599776
699.798107,217,129.821423
638.459142,193,130.017267
448.49969,152,130.177116
637.074625,194,130.375335
389.996952,133,130.509364
398.046473,139,131.642702
712.890189,221,131.868879
633.575623,184,132.057109
647.016906,206,132.264592
426.686283,145,132.413121
777.399831,245,132.662694
363.368224,128,132.79302
359.024658,127,132.920175
602.463408,185,133.107487
643.337559,191,133.299084
684.173056,238,133.541317
556.093115,172,134.684118
759.824059,233,134.921543
821.19984,250,135.173199
433.85043,144,135.321421
566.207544,189,135.510106
652.026339,197,135.708904
642.163987,200,135.912129
643.128201,201,136.116105
390.300321,136,136.252334
669.003944,205,136.460736
360.967089,127,136.590698
377.577711,136,137.709358
497.725182,155,137.865945
599.398812,198,138.064855
773.690259,234,138.301675
602.839571,199,138.50492
363.746565,129,138.635796
610.947841,209,138.846541
370.009955,133,138.980121
513.421887,194,139.176727
540.007692,167,139.347296
355.879341,126,139.475085
617.381146,195,139.677562
642.762739,193,140.8439
519.405521,171,141.016996
813.490681,243,141.267763
461.425818,153,141.422035
731.093131,222,141.650596
462.353635,164,141.819468
609.282161,196,142.019393
416.333163,144,142.166134
601.495494,189,142.359488
620.022824,185,142.548857
654.328999,209,142.774376
351.084826,130,143.877457
546.473971,171,144.054882
510.220363,182,144.238881
419.113354,142,144.384685
544.983443,197,144.584004
702.210309,220,144.808771
670.622565,213,145.024065
651.303216,207,145.234572
641.654564,198,145.436613
364.042441,127,145.56628
364.49196,126,145.692986
562.317801,173,145.868852
360.196606,129,146.970009
621.755853,192,147.165564
598.612499,189,147.358988
376.250602,139,147.498835
613.711762,196,147.69523
534.61218,172,147.870998
543.794665,182,148.056487
575.455704,176,148.233043
646.734179,200,148.436802
366.892262,132,148.57033
567.077065,172,148.786972
746.80817,230,149.947735
429.304011,165,150.096475
525.876426,165,150.243571
433.90865,143,150.371698
348.584869,130,150.489028
374.34295,132,150.608866
426.896437,142,150.737623
612.691114,190,150.907249
587.679414,179,151.06736
624.339387,182,151.229427
588.390149,177,151.388289
356.497079,132,151.506637
679.71506,217,151.700071
362.591601,134,152.690556
399.421533,137,152.813013
546.612839,181,152.977453
417.297047,141,153.103846
492.202558,160,153.24654
704.034521,222,153.444902
685.106862,206,153.627968
419.795372,140,153.754281
703.603316,220,153.952278
638.279037,199,154.129461
588.266754,202,154.310792
570.993752,176,155.404292
372.777244,131,155.521282
787.896055,247,155.741847
368.346202,137,155.864837
364.675158,132,155.983897
466.943746,159,156.126168
617.910991,188,156.294092
524.198372,161,156.437105
755.735663,239,156.649634
532.787637,168,156.799078
595.474941,180,156.961158
381.466292,135,157.082449
538.440077,190,158.193967
471.699013,153,158.33304
638.738391,205,158.519253
649.066074,206,158.703891
366.724984,128,158.820186
663.317122,229,159.026925
548.4738,168,159.178252
517.034526,163,159.325608
659.290944,204,159.509074
649.17424,197,159.685986
629.438197,206,159.871394
598.875536,196,160.929124
408.679369,139,161.05514
540.407823,188,161.223946
623.702147,188,161.392658
647.906993,189,161.561632
641.17784,206,161.746997
754.008308,229,161.953577
446.829842,145,162.085168
566.819881,173,162.241493
591.583386,173,162.397478
632.302146,190,162.569601
369.097756,133,162.690265
565.727959,177,163.788787
780.859833,232,163.997706
640.577483,201,164.177547
563.211112,173,164.331321
488.297599,157,164.472855
372.867029,134,164.595389
786.16056,238,164.807134
817.556171,253,165.033175
465.755648,149,165.166279
602.748189,176,165.321964
631.903899,208,166.379587
675.923167,211,166.568265
977.900343,324,166.870455
641.466439,193,167.041516
855.018308,280,167.301323
508.692337,161,167.445077
647.847898,201,167.623309
653.880625,194,167.795938
650.613905,194,167.969113
666.254099,209,168.158159
713.602117,224,169.310256
730.693265,230,169.519659
633.832881,207,169.704975
680.028943,212,169.897463
779.940792,229,170.108259
805.599961,244,170.333447
642.750678,201,170.515606
718.58521,224,170.719552
762.09825,224,170.926108
730.172852,223,172.075326
714.146378,227,172.284105
673.019073,212,172.4784
634.676912,202,172.666454
748.699478,230,172.889088
535.78621,162,173.033488
670.74913,212,173.227833
829.553545,253,173.465861
763.382935,250,173.701345
748.624113,223,174.833341
606.146602,177,174.993084
663.151595,233,175.211206
685.005732,215,175.410602
